dataReceived,timestamp,ppg,status
1710812003626,1710811991585,2097152,0
1710812003626,1710811991626,2366943,0
1710812003626,1710811991667,2366919,0
1710812003626,1710811991706,2367025,0
1710812003626,1710811991746,2367144,0
1710812003626,1710811991786,2367329,0
1710812003626,1710811991826,2367412,0
1710812003626,1710811991867,2367468,0
1710812003626,1710811991906,2367537,0
1710812003626,1710811991947,2367604,0
1710812003626,1710811991987,2229473,0
1710812003626,1710811992027,2229674,0
1710812003626,1710811992068,2229889,0
1710812003626,1710811992107,2230067,0
1710812003626,1710811992147,2230431,0
1710812003626,1710811992187,2112151,0
1710812003626,1710811992228,2112497,0
1710812003626,1710811992269,2112649,0
1710812003626,1710811992308,2112562,0
1710812003626,1710811992348,2112661,0
1710812003626,1710811992388,2137084,0
1710812003626,1710811992428,2138048,0
1710812003626,1710811992469,2138946,0
1710812003626,1710811992508,2139973,0
1710812003626,1710811992548,2140484,0
1710812003626,1710811992589,2140991,0
1710812003626,1710811992629,2141409,0
1710812003626,1710811992670,2142164,0
1710812003626,1710811992709,2142959,0
1710812003626,1710811992752,2143698,0
1710812003626,1710811992789,2144649,0
1710812003626,1710811992829,2145310,0
1710812003626,1710811992871,2146140,0
1710812003626,1710811992910,2146815,0
1710812003626,1710811992950,2147332,0
1710812003626,1710811992990,2147230,0
1710812003626,1710811993030,2146675,0
1710812003626,1710811993071,2146660,0
1710812003626,1710811993110,2146524,0
1710812003626,1710811993150,2146394,0
1710812003626,1710811993191,2145936,0
1710812003626,1710811993231,2145358,0
1710812003626,1710811993272,2143519,0
1710812003626,1710811993311,2141349,0
1710812003626,1710811993351,2138607,0
1710812003626,1710811993391,2136002,0
1710812003626,1710811993431,2133134,0
1710812003626,1710811993472,2130101,0
1710812003626,1710811993511,2127331,0
1710812003626,1710811993552,2124401,0
1710812003626,1710811993592,2121013,0
1710812003626,1710811993632,2116821,0
1710812003626,1710811993673,2109582,0
1710812003626,1710811993712,2100190,0
1710812003626,1710811993752,2089952,0
1710812003626,1710811993792,2080234,0
1710812003626,1710811993832,2072056,0
1710812003626,1710811993874,2065955,0
1710812003626,1710811993913,2060612,0
1710812003626,1710811993953,2054090,0
